iter	Passed	Remaining
609	4242	2712
610	4249	2705
611	4255	2698
612	4262	2691
613	4269	2684
614	4275	2676
615	4282	2669
616	4289	2662
617	4295	2655
618	4302	2648
619	4310	2641
620	4316	2634
621	4323	2627
622	4330	2620
623	4337	2613
624	4344	2606
625	4351	2599
626	4358	2592
627	4365	2585
628	4371	2578
629	4378	2571
630	4385	2564
631	4392	2557
632	4399	2550
633	4406	2544
634	4413	2536
635	4420	2530
636	4427	2523
637	4434	2515
638	4440	2508
639	4447	2501
640	4454	2494
641	4461	2487
642	4467	2480
643	4474	2473
644	4480	2466
645	4487	2458
646	4493	2451
647	4499	2444
648	4507	2437
649	4513	2430
650	4520	2423
651	4528	2417
652	4535	2410
653	4542	2403
654	4549	2396
655	4556	2389
656	4563	2382
657	4570	2375
658	4577	2368
659	4584	2361
660	4591	2354
661	4598	2347
662	4605	2340
663	4611	2333
664	4618	2326
665	4625	2319
666	4633	2313
667	4639	2305
668	4646	2298
669	4653	2291
670	4659	2284
671	4666	2277
672	4673	2270
673	4679	2263
674	4686	2256
675	4693	2249
676	4699	2242
677	4706	2235
678	4713	2228
679	4719	2220
680	4726	2214
681	4733	2207
682	4741	2200
683	4748	2193
684	4755	2186
685	4761	2179
686	4768	2172
687	4775	2165
688	4782	2158
689	4788	2151
690	4795	2144
691	4802	2137
692	4809	2130
693	4816	2123
694	4823	2116
695	4830	2109
696	4836	2102
697	4843	2095
698	4850	2088
699	4857	2081
700	4863	2074
701	4870	2067
702	4877	2060
703	4884	2053
704	4891	2046
705	4897	2039
706	4903	2032
707	4911	2025
708	4917	2018
709	4925	2011
710	4931	2004
711	4939	1998
712	4949	1992
713	4956	1985
714	4963	1978
715	4971	1971
716	4977	1964
717	4984	1957
718	4992	1950
719	4999	1944
720	5006	1937
721	5013	1930
722	5020	1923
723	5027	1916
724	5034	1909
725	5041	1902
726	5047	1895
727	5054	1888
728	5062	1881
729	5068	1874
730	5075	1867
731	5082	1860
732	5089	1853
733	5095	1846
734	5102	1839
735	5109	1832
736	5116	1825
737	5123	1819
738	5130	1812
739	5137	1805
740	5144	1798
741	5151	1791
742	5158	1784
743	5166	1777
744	5172	1770
745	5179	1763
746	5186	1756
747	5193	1749
748	5200	1742
749	5206	1735
750	5214	1728
751	5221	1721
752	5228	1715
753	5235	1707
754	5242	1701
755	5248	1694
756	5255	1687
757	5263	1680
758	5271	1673
759	5277	1666
760	5284	1659
761	5291	1652
762	5299	1646
763	5306	1639
764	5313	1632
765	5320	1625
766	5327	1618
767	5334	1611
768	5341	1604
769	5348	1597
770	5354	1590
771	5361	1583
772	5368	1576
773	5376	1569
774	5383	1562
775	5390	1556
776	5397	1549
777	5404	1542
778	5411	1535
779	5418	1528
780	5425	1521
781	5432	1514
782	5440	1507
783	5446	1500
784	5453	1493
785	5460	1486
786	5467	1479
787	5474	1472
788	5481	1465
789	5490	1459
790	5496	1452
791	5504	1445
792	5511	1438
793	5518	1431
794	5524	1424
795	5531	1417
796	5538	1410
797	5545	1403
798	5552	1396
799	5559	1389
800	5566	1383
801	5573	1376
802	5581	1369
803	5588	1362
804	5594	1355
805	5601	1348
806	5607	1341
807	5614	1334
808	5621	1327
809	5628	1320
810	5635	1313
811	5642	1306
812	5649	1299
813	5656	1292
814	5662	1285
815	5669	1278
816	5676	1271
817	5684	1264
818	5691	1257
819	5698	1250
820	5706	1244
821	5712	1237
822	5719	1230
823	5726	1223
824	5733	1216
825	5740	1209
826	5747	1202
827	5755	1195
828	5761	1188
829	5767	1181
830	5774	1174
831	5781	1167
832	5787	1160
833	5795	1153
834	5802	1146
835	5809	1139
836	5815	1132
837	5822	1125
838	5829	1118
839	5835	1111
840	5842	1104
841	5849	1097
842	5856	1090
843	5863	1083
844	5870	1076
845	5877	1069
846	5884	1063
847	5892	1056
848	5899	1049
849	5906	1042
850	5913	1035
851	5920	1028
852	5927	1021
853	5934	1014
854	5941	1007
855	5948	1000
856	5955	993
857	5962	986
858	5968	979
859	5975	972
860	5982	965
861	5989	958
862	5995	951
863	6002	944
864	6010	938
865	6017	931
866	6024	924
867	6031	917
868	6038	910
869	6044	903
870	6051	896
871	6059	889
872	6066	882
873	6074	875
874	6080	868
875	6087	861
876	6094	854
877	6101	847
878	6108	840
879	6114	833
880	6121	826
881	6128	819
882	6135	813
883	6142	805
884	6148	798
885	6155	792
886	6162	785
887	6169	778
888	6175	771
889	6182	764
890	6189	757
891	6196	750
892	6203	743
893	6210	736
894	6217	729
895	6224	722
896	6231	715
897	6238	708
898	6246	701
899	6253	694
900	6260	687
901	6268	681
902	6275	674
903	6282	667
904	6289	660
905	6296	653
906	6302	646
907	6309	639
908	6316	632
909	6323	625
910	6330	618
911	6338	611
912	6345	604
913	6351	597
914	6358	590
915	6365	583
916	6372	576
917	6379	569
918	6385	562
919	6393	555
920	6399	548
921	6407	542
922	6413	535
923	6420	528
924	6427	521
925	6433	514
926	6442	507
927	6448	500
928	6455	493
929	6463	486
930	6470	479
931	6477	472
932	6484	465
933	6491	458
934	6498	451
935	6505	444
936	6512	437
937	6518	430
938	6525	423
939	6532	416
940	6538	409
941	6545	403
942	6553	396
943	6560	389
944	6567	382
945	6574	375
946	6582	368
947	6590	361
948	6597	354
949	6604	347
950	6611	340
951	6618	333
952	6625	326
953	6631	319
954	6638	312
955	6645	305
956	6652	298
957	6659	291
958	6666	285
959	6674	278
960	6681	271
961	6688	264
962	6695	257
963	6702	250
964	6708	243
965	6715	236
966	6722	229
967	6729	222
968	6736	215
969	6743	208
970	6750	201
971	6757	194
972	6764	187
973	6771	180
974	6778	173
975	6785	166
976	6792	159
977	6799	152
978	6806	145
979	6813	139
980	6820	132
981	6827	125
982	6833	118
983	6841	111
984	6848	104
985	6855	97
986	6862	90
987	6870	83
988	6877	76
989	6884	69
990	6891	62
991	6900	55
992	6907	48
993	6914	41
994	6921	34
995	6927	27
996	6935	20
997	6941	13
998	6949	6
999	6955	0
